id,identifier,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,meta_category_id,meta_ailment_id,min_hits,max_hits,min_turns,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance
44,bite,17,60,25,100,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
45,growl,1,,40,100,0,11,1,19,,2,0,,,,,0,0,0,0,0,0
46,roar,1,,20,,-6,10,1,29,,12,0,,,,,0,0,0,0,0,0
47,sing,1,,15,55,0,10,1,2,,1,2,,,2,4,0,0,0,0,0,0
48,supersonic,1,,20,55,0,10,1,50,,1,6,,,2,5,0,0,0,0,0,0
49,sonic-boom,1,,20,90,0,10,3,131,,0,0,,,,,0,0,0,0,0,0
50,disable,1,,20,100,0,10,1,87,,13,13,,,4,4,0,0,0,0,0,0
51,acid,4,40,30,100,0,11,3,73,10,6,0,,,,,0,0,0,0,0,10
52,ember,10,40,25,100,0,10,3,5,10,4,4,,,,,0,0,0,10,0,0
53,flamethrower,10,90,15,100,0,10,3,5,10,4,4,,,,,0,0,0,10,0,0
54,mist,15,,30,,0,4,1,47,,11,0,,,,,0,0,0,0,0,0
55,water-gun,11,40,25,100,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
56,hydro-pump,11,110,5,80,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
57,surf,11,90,15,100,0,9,3,258,,0,0,,,,,0,0,0,0,0,0
58,ice-beam,15,90,10,100,0,10,3,6,10,4,3,,,,,0,0,0,10,0,0
59,blizzard,15,110,5,70,0,11,3,261,10,4,3,,,,,0,0,0,10,0,0
60,psybeam,14,65,20,100,0,10,3,77,10,4,6,,,2,5,0,0,0,10,0,0
61,bubble-beam,11,65,20,100,0,10,3,71,10,6,0,,,,,0,0,0,0,0,10
62,aurora-beam,15,65,20,100,0,10,3,69,10,6,0,,,,,0,0,0,0,0,10
63,hyper-beam,1,150,5,90,0,10,3,81,,0,0,,,,,0,0,0,0,0,0
64,peck,3,35,35,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
65,drill-peck,3,80,20,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
66,submission,2,80,20,80,0,10,2,49,,0,0,,,,,-25,0,0,0,0,0
67,low-kick,2,,20,100,0,10,2,197,,0,0,,,,,0,0,0,0,0,0
68,counter,2,,20,100,-5,1,2,90,,0,0,,,,,0,0,0,0,0,0
69,seismic-toss,2,,20,100,0,10,2,88,,0,0,,,,,0,0,0,0,0,0
70,strength,1,80,15,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
71,absorb,12,20,25,100,0,10,3,4,,8,0,,,,,50,0,0,0,0,0
72,mega-drain,12,40,15,100,0,10,3,4,,8,0,,,,,50,0,0,0,0,0
73,leech-seed,12,,10,90,0,10,1,85,,1,18,,,,,0,0,0,0,0,0
74,growth,1,,20,,0,7,1,317,,2,0,,,,,0,0,0,0,0,0
75,razor-leaf,12,55,25,95,0,11,2,44,,0,0,,,,,0,0,1,0,0,0
76,solar-beam,12,120,10,100,0,10,3,152,,0,0,,,,,0,0,0,0,0,0
77,poison-powder,4,,35,75,0,10,1,67,,1,5,,,,,0,0,0,0,0,0
78,stun-spore,12,,30,75,0,10,1,68,,1,1,,,,,0,0,0,0,0,0
79,sleep-powder,12,,15,75,0,10,1,2,,1,2,,,2,4,0,0,0,0,0,0
80,petal-dance,12,120,10,100,0,8,3,28,,0,0,,,,,0,0,0,0,0,0
81,string-shot,7,,40,95,0,11,1,61,,2,0,,,,,0,0,0,0,0,0
82,dragon-rage,16,,10,100,0,10,3,42,,0,0,,,,,0,0,0,0,0,0
83,fire-spin,10,35,15,85,0,10,3,43,100,4,8,,,5,6,0,0,0,100,0,0
84,thunder-shock,13,40,30,100,0,10,3,7,10,4,1,,,,,0,0,0,10,0,0
85,thunderbolt,13,90,15,100,0,10,3,7,10,4,1,,,,,0,0,0,10,0,0
86,thunder-wave,13,,20,90,0,10,1,68,,1,1,,,,,0,0,0,0,0,0
87,thunder,13,110,10,70,0,10,3,153,30,4,1,,,,,0,0,0,30,0,0
88,rock-throw,6,50,15,90,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
89,earthquake,5,100,10,100,0,9,2,148,,0,0,,,,,0,0,0,0,0,0
90,fissure,5,,5,30,0,10,2,39,,9,0,,,,,0,0,0,0,0,0
91,dig,5,80,10,100,0,10,2,257,,0,0,,,,,0,0,0,0,0,0
92,toxic,4,,10,90,0,10,1,34,,1,5,,,15,15,0,0,0,0,0,0
93,confusion,14,50,25,100,0,10,3,77,10,4,6,,,2,5,0,0,0,10,0,0
94,psychic,14,90,10,100,0,10,3,73,10,6,0,,,,,0,0,0,0,0,10
95,hypnosis,14,,20,60,0,10,1,2,,1,2,,,2,4,0,0,0,0,0,0
96,meditate,14,,40,,0,7,1,11,,2,0,,,,,0,0,0,0,0,0
97,agility,14,,30,,0,7,1,53,,2,0,,,,,0,0,0,0,0,0
98,quick-attack,1,40,30,100,1,10,2,104,,0,0,,,,,0,0,0,0,0,0
99,rage,1,20,20,100,0,10,2,82,,0,0,,,,,0,0,0,0,0,0
100,teleport,14,,20,,-6,7,1,154,,13,0,,,,,0,0,0,0,0,0
101,night-shade,8,,15,100,0,10,3,88,,0,0,,,,,0,0,0,0,0,0
102,mimic,1,,10,,0,10,1,83,,13,0,,,,,0,0,0,0,0,0
103,screech,1,,40,85,0,10,1,60,,2,0,,,,,0,0,0,0,0,0
104,double-team,1,,15,,0,7,1,17,,2,0,,,,,0,0,0,0,0,0
105,recover,1,,10,,0,7,1,33,,3,0,,,,,0,50,0,0,0,0
106,harden,1,,30,,0,7,1,12,,2,0,,,,,0,0,0,0,0,0
107,minimize,1,,10,,0,7,1,109,,2,0,,,,,0,0,0,0,0,0
108,smokescreen,1,,20,100,0,10,1,24,,2,0,,,,,0,0,0,0,0,0
109,confuse-ray,8,,10,100,0,10,1,50,,1,6,,,2,5,0,0,0,0,0,0
110,withdraw,11,,40,,0,7,1,12,,2,0,,,,,0,0,0,0,0,0
111,defense-curl,1,,40,,0,7,1,157,,2,0,,,,,0,0,0,0,0,0
112,barrier,14,,20,,0,7,1,52,,2,0,,,,,0,0,0,0,0,0
113,light-screen,14,,30,,0,4,1,36,,11,0,,,,,0,0,0,0,0,0
114,haze,15,,30,,0,12,1,26,,10,0,,,,,0,0,0,0,0,0
115,reflect,14,,20,,0,4,1,66,,11,0,,,,,0,0,0,0,0,0
116,focus-energy,1,,30,,0,7,1,48,,13,0,,,,,0,0,0,0,0,0
117,bide,1,,10,,1,7,2,27,,0,0,,,,,0,0,0,0,0,0
118,metronome,1,,10,,0,7,1,84,,13,0,,,,,0,0,0,0,0,0
119,mirror-move,3,,20,,0,10,1,10,,13,0,,,,,0,0,0,0,0,0
120,self-destruct,1,200,5,100,0,9,2,8,,0,0,,,,,0,0,0,0,0,0
121,egg-bomb,1,100,10,75,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
122,lick,8,30,30,100,0,10,2,7,30,4,1,,,,,0,0,0,30,0,0
123,smog,4,30,20,70,0,10,3,3,40,4,5,,,,,0,0,0,40,0,0
124,sludge,4,65,20,100,0,10,3,3,30,4,5,,,,,0,0,0,30,0,0
125,bone-club,5,65,20,85,0,10,2,32,10,0,0,,,,,0,0,0,0,10,0
126,fire-blast,10,110,5,85,0,10,3,5,10,4,4,,,,,0,0,0,10,0,0
127,waterfall,11,80,15,100,0,10,2,32,20,0,0,,,,,0,0,0,0,20,0
128,clamp,11,35,15,85,0,10,2,43,100,4,8,,,5,6,0,0,0,100,0,0
129,swift,1,60,20,,0,11,3,18,,0,0,,,,,0,0,0,0,0,0
130,skull-bash,1,130,10,100,0,10,2,146,100,0,0,,,,,0,0,0,100,0,0
131,spike-cannon,1,20,15,100,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
132,constrict,1,10,35,100,0,10,2,71,10,6,0,,,,,0,0,0,0,0,10
133,amnesia,14,,20,,0,7,1,55,,2,0,,,,,0,0,0,0,0,0
134,kinesis,14,,15,80,0,10,1,24,,2,0,,,,,0,0,0,0,0,0
135,soft-boiled,1,,10,,0,7,1,33,,3,0,,,,,0,50,0,0,0,0
136,high-jump-kick,2,130,10,90,0,10,2,46,,0,0,,,,,0,0,0,0,0,0
137,glare,1,,30,100,0,10,1,68,,1,1,,,,,0,0,0,0,0,0
138,dream-eater,14,100,15,100,0,10,3,9,,8,0,,,,,50,0,0,0,0,0
139,poison-gas,4,,40,90,0,11,1,67,,1,5,,,,,0,0,0,0,0,0
140,barrage,1,15,20,85,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
141,leech-life,7,80,10,100,0,10,2,4,,8,0,,,,,50,0,0,0,0,0
142,lovely-kiss,1,,10,75,0,10,1,2,,1,2,,,2,4,0,0,0,0,0,0
143,sky-attack,3,140,5,90,0,10,2,76,30,0,0,,,,,0,0,1,0,30,0
144,transform,1,,10,,0,10,1,58,,13,0,,,,,0,0,0,0,0,0
145,bubble,11,40,30,100,0,11,3,71,10,6,0,,,,,0,0,0,0,0,10
146,dizzy-punch,1,70,10,100,0,10,2,77,20,4,6,,,2,5,0,0,0,20,0,0
147,spore,12,,15,100,0,10,1,2,,1,2,,,2,4,0,0,0,0,0,0
148,flash,1,,20,100,0,10,1,24,,2,0,,,,,0,0,0,0,0,0
149,psywave,14,,15,100,0,10,3,89,,0,0,,,,,0,0,0,0,0,0
150,splash,1,,40,,0,7,1,86,,13,0,,,,,0,0,0,0,0,0
151,acid-armor,4,,20,,0,7,1,52,,2,0,,,,,0,0,0,0,0,0
152,crabhammer,11,100,10,90,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
153,explosion,1,250,5,100,0,9,2,8,,0,0,,,,,0,0,0,0,0,0
154,fury-swipes,1,18,15,80,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
155,bonemerang,5,50,10,90,0,10,2,45,,0,0,2,2,,,0,0,0,0,0,0
156,rest,14,,10,,0,7,1,38,,13,0,,,,,0,0,0,0,0,0
157,rock-slide,6,75,10,90,0,11,2,32,30,0,0,,,,,0,0,0,0,30,0
158,hyper-fang,1,80,15,90,0,10,2,32,10,0,0,,,,,0,0,0,0,10,0
159,sharpen,1,,30,,0,7,1,11,,2,0,,,,,0,0,0,0,0,0
160,conversion,1,,30,,0,7,1,31,,13,0,,,,,0,0,0,0,0,0
161,tri-attack,1,80,10,100,0,10,3,37,20,4,-1,,,,,0,0,0,20,0,0
162,super-fang,1,,10,90,0,10,2,41,,0,0,,,,,0,0,0,0,0,0
163,slash,1,70,20,100,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
164,substitute,1,,10,,0,7,1,80,,13,0,,,,,0,0,0,0,0,0
165,struggle,1,50,1,,0,8,2,255,,0,0,,,,,0,-25,0,0,0,0
166,sketch,1,,1,,0,10,1,96,,13,0,,,,,0,0,0,0,0,0
167,triple-kick,2,10,10,90,0,10,2,105,,0,0,3,3,,,0,0,0,0,0,0
168,thief,17,60,25,100,0,10,2,106,,0,0,,,,,0,0,0,0,0,0
169,spider-web,7,,10,,0,10,1,107,,13,0,,,,,0,0,0,0,0,0
170,mind-reader,1,,5,,0,10,1,95,,13,0,,,,,0,0,0,0,0,0
171,nightmare,8,,15,100,0,10,1,108,,1,9,,,,,0,0,0,0,0,0
172,flame-wheel,10,60,25,100,0,10,2,126,10,4,4,,,,,0,0,0,10,0,0
173,snore,1,50,15,100,0,10,3,93,30,0,0,,,,,0,0,0,0,30,0
174,curse,8,,10,,0,1,1,110,,13,0,,,,,0,0,0,0,0,0
175,flail,1,,15,100,0,10,2,100,,0,0,,,,,0,0,0,0,0,0
176,conversion-2,1,,30,,0,10,1,94,,13,0,,,,,0,0,0,0,0,0
177,aeroblast,3,100,5,95,0,10,3,44,,0,0,,,,,0,0,1,0,0,0
178,cotton-spore,12,,40,100,0,11,1,61,,2,0,,,,,0,0,0,0,0,0
179,reversal,2,,15,100,0,10,2,100,,0,0,,,,,0,0,0,0,0,0
180,spite,8,,10,100,0,10,1,101,,13,0,,,,,0,0,0,0,0,0
181,powder-snow,15,40,25,100,0,11,3,6,10,4,3,,,,,0,0,0,10,0,0
182,protect,1,,10,,4,7,1,112,,13,0,,,,,0,0,0,0,0,0
183,mach-punch,2,40,30,100,1,10,2,104,,0,0,,,,,0,0,0,0,0,0
184,scary-face,1,,10,100,0,10,1,61,,2,0,,,,,0,0,0,0,0,0
185,feint-attack,17,60,20,,0,10,2,18,,0,0,,,,,0,0,0,0,0,0
186,sweet-kiss,18,,10,75,0,10,1,50,,1,6,,,2,5,0,0,0,0,0,0
187,belly-drum,1,,10,,0,7,1,143,,13,0,,,,,0,0,0,0,0,0
188,sludge-bomb,4,90,10,100,0,10,3,3,30,4,5,,,,,0,0,0,30,0,0
189,mud-slap,5,20,10,100,0,10,3,74,100,6,0,,,,,0,0,0,0,0,100
190,octazooka,11,65,10,85,0,10,3,74,50,6,0,,,,,0,0,0,0,0,50
191,spikes,5,,20,,0,6,1,113,,11,0,,,,,0,0,0,0,0,0
192,zap-cannon,13,120,5,50,0,10,3,7,100,4,1,,,,,0,0,0,100,0,0
193,foresight,1,,40,,0,10,1,114,,1,17,,,,,0,0,0,0,0,0
194,destiny-bond,8,,5,,0,7,1,99,,13,0,,,,,0,0,0,0,0,0
195,perish-song,1,,5,,0,14,1,115,,1,20,,,4,4,0,0,0,0,0,0
196,icy-wind,15,55,15,95,0,11,3,71,100,6,0,,,,,0,0,0,0,0,100
197,detect,2,,5,,4,7,1,112,,13,0,,,,,0,0,0,0,0,0
198,bone-rush,5,25,10,90,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
199,lock-on,1,,5,,0,10,1,95,,13,0,,,,,0,0,0,0,0,0
200,outrage,16,120,10,100,0,8,2,28,,0,0,,,,,0,0,0,0,0,0
201,sandstorm,6,,10,,0,12,1,116,,10,0,,,,,0,0,0,0,0,0
202,giga-drain,12,75,10,100,0,10,3,4,,8,0,,,,,50,0,0,0,0,0
203,endure,1,,10,,4,7,1,117,,13,0,,,,,0,0,0,0,0,0
204,charm,18,,20,100,0,10,1,59,,2,0,,,,,0,0,0,0,0,0
205,rollout,6,30,20,90,0,10,2,118,,0,0,,,,,0,0,0,0,0,0
206,false-swipe,1,40,40,100,0,10,2,102,,0,0,,,,,0,0,0,0,0,0
207,swagger,1,,15,85,0,10,1,119,,5,6,,,2,5,0,0,0,0,0,0
208,milk-drink,1,,10,,0,7,1,33,,3,0,,,,,0,50,0,0,0,0
209,spark,13,65,20,100,0,10,2,7,30,4,1,,,,,0,0,0,30,0,0
210,fury-cutter,7,40,20,95,0,10,2,120,,0,0,,,,,0,0,0,0,0,0
211,steel-wing,9,70,25,90,0,10,2,139,10,7,0,,,,,0,0,0,0,0,10
212,mean-look,1,,5,,0,10,1,107,,13,0,,,,,0,0,0,0,0,0
213,attract,1,,15,100,0,10,1,121,,1,7,,,,,0,0,0,0,0,0
214,sleep-talk,1,,10,,0,7,1,98,,13,0,,,,,0,0,0,0,0,0
215,heal-bell,1,,5,,0,13,1,103,,13,0,,,,,0,0,0,0,0,0
216,return,1,,20,100,0,10,2,122,,0,0,,,,,0,0,0,0,0,0
217,present,1,,15,90,0,10,2,123,,0,0,,,,,0,0,0,0,0,0
218,frustration,1,,20,100,0,10,2,124,,0,0,,,,,0,0,0,0,0,0
219,safeguard,1,,25,,0,4,1,125,,11,0,,,,,0,0,0,0,0,0
220,pain-split,1,,20,,0,10,1,92,,13,0,,,,,0,0,0,0,0,0
221,sacred-fire,10,100,5,95,0,10,2,126,50,4,4,,,,,0,0,0,50,0,0
222,magnitude,5,,30,100,0,9,2,127,,0,0,,,,,0,0,0,0,0,0
223,dynamic-punch,2,100,5,50,0,10,2,77,100,4,6,,,2,5,0,0,0,100,0,0
224,megahorn,7,120,10,85,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
225,dragon-breath,16,60,20,100,0,10,3,7,30,4,1,,,,,0,0,0,30,0,0
226,baton-pass,1,,40,,0,7,1,128,,13,0,,,,,0,0,0,0,0,0
227,encore,1,,5,100,0,10,1,91,,13,0,,,,,0,0,0,0,0,0
228,pursuit,17,40,20,100,0,10,2,129,,0,0,,,,,0,0,0,0,0,0
229,rapid-spin,1,50,40,100,0,10,2,130,100,7,0,,,,,0,0,0,0,0,100
230,sweet-scent,1,,20,100,0,11,1,25,,2,0,,,,,0,0,0,0,0,0
231,iron-tail,9,100,15,75,0,10,2,70,30,6,0,,,,,0,0,0,0,0,30
232,metal-claw,9,50,35,95,0,10,2,140,10,7,0,,,,,0,0,0,0,0,10
233,vital-throw,2,70,10,,-1,10,2,79,,0,0,,,,,0,0,0,0,0,0
234,morning-sun,1,,5,,0,7,1,133,,3,0,,,,,0,50,0,0,0,0
235,synthesis,12,,5,,0,7,1,133,,3,0,,,,,0,50,0,0,0,0
236,moonlight,18,,5,,0,7,1,133,,3,0,,,,,0,50,0,0,0,0
237,hidden-power,1,60,15,100,0,10,3,136,,0,0,,,,,0,0,0,0,0,0
238,cross-chop,2,100,5,80,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
239,twister,16,40,20,100,0,11,3,147,20,0,0,,,,,0,0,0,0,20,0
240,rain-dance,11,,5,,0,12,1,137,,10,0,,,,,0,0,0,0,0,0
241,sunny-day,10,,5,,0,12,1,138,,10,0,,,,,0,0,0,0,0,0
242,crunch,17,80,15,100,0,10,2,70,20,6,0,,,,,0,0,0,0,0,20
243,mirror-coat,14,,20,100,-5,1,3,145,,0,0,,,,,0,0,0,0,0,0
244,psych-up,1,,10,,0,10,1,144,,13,0,,,,,0,0,0,0,0,0
245,extreme-speed,1,80,5,100,2,10,2,104,,0,0,,,,,0,0,0,0,0,0
246,ancient-power,6,60,5,100,0,10,3,141,10,7,0,,,,,0,0,0,0,0,10
247,shadow-ball,8,80,15,100,0,10,3,73,20,6,0,,,,,0,0,0,0,0,20
248,future-sight,14,120,10,100,0,10,3,149,,13,0,,,,,0,0,0,0,0,0
249,rock-smash,2,40,15,100,0,10,2,70,50,6,0,,,,,0,0,0,0,0,50
250,whirlpool,11,35,15,85,0,10,3,262,100,4,8,,,5,6,0,0,0,100,0,0
251,beat-up,17,,10,100,0,10,2,155,,0,0,6,6,,,0,0,0,0,0,0
252,fake-out,1,40,10,100,3,10,2,159,100,0,0,,,,,0,0,0,0,100,0
253,uproar,1,90,10,100,0,8,3,160,,0,0,,,,,0,0,0,0,0,0
254,stockpile,1,,20,,0,7,1,161,,13,0,,,,,0,0,0,0,0,0
255,spit-up,1,,10,100,0,10,3,162,,0,0,,,,,0,0,0,0,0,0
256,swallow,1,,10,,0,7,1,163,,3,0,,,,,0,25,0,0,0,0
257,heat-wave,10,95,10,90,0,11,3,5,10,4,4,,,,,0,0,0,10,0,0
258,hail,15,,10,,0,12,1,165,,10,0,,,,,0,0,0,0,0,0
259,torment,17,,15,100,0,10,1,166,,1,12,,,,,0,0,0,0,0,0
260,flatter,17,,15,100,0,10,1,167,,5,6,,,2,5,0,0,0,0,0,0
261,will-o-wisp,10,,15,85,0,10,1,168,,1,4,,,,,0,0,0,0,0,0
262,memento,17,,10,100,0,10,1,169,,13,0,,,,,0,0,0,0,0,0
263,facade,1,70,20,100,0,10,2,170,,0,0,,,,,0,0,0,0,0,0
264,focus-punch,2,150,20,100,-3,10,2,171,,0,0,,,,,0,0,0,0,0,0
265,smelling-salts,1,70,10,100,0,10,2,172,,0,0,,,,,0,0,0,0,0,0
266,follow-me,1,,20,,2,7,1,173,,13,0,,,,,0,0,0,0,0,0
267,nature-power,1,,20,,0,10,1,174,,13,0,,,,,0,0,0,0,0,0
268,charge,13,,20,,0,7,1,175,,2,0,,,,,0,0,0,0,0,0
269,taunt,17,,20,100,0,10,1,176,,13,0,,,,,0,0,0,0,0,0
270,helping-hand,1,,20,,5,3,1,177,,13,0,,,,,0,0,0,0,0,0
271,trick,14,,10,100,0,10,1,178,,13,0,,,,,0,0,0,0,0,0
272,role-play,14,,10,,0,10,1,179,,13,0,,,,,0,0,0,0,0,0
273,wish,1,,10,,0,7,1,180,,13,0,,,,,0,0,0,0,0,0
274,assist,1,,20,,0,7,1,181,,13,0,,,,,0,0,0,0,0,0
275,ingrain,12,,20,,0,7,1,182,,1,21,,,,,0,0,0,0,0,0
276,superpower,2,120,5,100,0,10,2,183,100,7,0,,,,,0,0,0,0,0,100
277,magic-coat,14,,15,,4,7,1,184,,13,0,,,,,0,0,0,0,0,0
278,recycle,1,,10,,0,7,1,185,,13,0,,,,,0,0,0,0,0,0
279,revenge,2,60,10,100,-4,10,2,186,,0,0,,,,,0,0,0,0,0,0
280,brick-break,2,75,15,100,0,10,2,187,,0,0,,,,,0,0,0,0,0,0
281,yawn,1,,10,,0,10,1,188,,1,14,,,2,2,0,0,0,0,0,0
282,knock-off,17,65,20,100,0,10,2,189,,0,0,,,,,0,0,0,0,0,0
283,endeavor,1,,5,100,0,10,2,190,,0,0,,,,,0,0,0,0,0,0
284,eruption,10,150,5,100,0,11,3,191,,0,0,,,,,0,0,0,0,0,0
285,skill-swap,14,,10,,0,10,1,192,,13,0,,,,,0,0,0,0,0,0
286,imprison,14,,10,,0,7,1,193,,13,0,,,,,0,0,0,0,0,0
287,refresh,1,,20,,0,7,1,194,,13,0,,,,,0,0,0,0,0,0
288,grudge,8,,5,,0,7,1,195,,13,0,,,,,0,0,0,0,0,0
289,snatch,17,,10,,4,7,1,196,,13,0,,,,,0,0,0,0,0,0
290,secret-power,1,70,20,100,0,10,2,198,30,0,0,,,,,0,0,0,30,0,0
291,dive,11,80,10,100,0,10,2,256,,0,0,,,,,0,0,0,0,0,0
292,arm-thrust,2,15,20,100,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
293,camouflage,1,,20,,0,7,1,214,,13,0,,,,,0,0,0,0,0,0
294,tail-glow,7,,20,,0,7,1,322,,2,0,,,,,0,0,0,0,0,0
295,luster-purge,14,70,5,100,0,10,3,73,50,6,0,,,,,0,0,0,0,0,50
296,mist-ball,14,70,5,100,0,10,3,72,50,6,0,,,,,0,0,0,0,0,50
297,feather-dance,3,,15,100,0,10,1,59,,2,0,,,,,0,0,0,0,0,0
298,teeter-dance,1,,20,100,0,9,1,200,,1,6,,,2,5,0,0,0,0,0,0
299,blaze-kick,10,85,10,90,0,10,2,201,10,4,4,,,,,0,0,1,10,0,0
300,mud-sport,5,,15,,0,12,1,202,,10,0,,,,,0,0,0,0,0,0
301,ice-ball,15,30,20,90,0,10,2,118,,0,0,,,,,0,0,0,0,0,0
302,needle-arm,12,60,15,100,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
303,slack-off,1,,10,,0,7,1,33,,3,0,,,,,0,50,0,0,0,0
304,hyper-voice,1,90,10,100,0,11,3,1,,0,0,,,,,0,0,0,0,0,0
305,poison-fang,4,50,15,100,0,10,2,203,50,4,5,,,15,15,0,0,0,50,0,0
306,crush-claw,1,75,10,95,0,10,2,70,50,6,0,,,,,0,0,0,0,0,50
307,blast-burn,10,150,5,90,0,10,3,81,,0,0,,,,,0,0,0,0,0,0
308,hydro-cannon,11,150,5,90,0,10,3,81,,0,0,,,,,0,0,0,0,0,0
309,meteor-mash,9,90,10,90,0,10,2,140,20,7,0,,,,,0,0,0,0,0,20
310,astonish,8,30,15,100,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
311,weather-ball,1,50,10,100,0,10,3,204,,0,0,,,,,0,0,0,0,0,0
312,aromatherapy,12,,5,,0,13,1,103,,13,0,,,,,0,0,0,0,0,0
313,fake-tears,17,,20,100,0,10,1,63,,2,0,,,,,0,0,0,0,0,0
314,air-cutter,3,60,25,95,0,11,3,44,,0,0,,,,,0,0,1,0,0,0
